cik,fyear,Z_score_c,tier1_c,past_due_90,past_due_nonaccrual,non_perf_loan,rssdid,cik_original,gvkey,tic,cusip,conm,roa,roe,leverage,tobinq,mark_to_bk,eps,at,bkvlps,ceq,csho,dlc,dltt,ni,seq,mkvalt,prcc_f
19617,2004,58.431465,0.10655335,1146101.5,3854136.8,5000238,1039502,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.0038591556,48.990242,2.4149716,1.0288728,4684.4604,1.255838,1157248,29.6143,105314,3556.1909,165264,89885,4466,105653,138727.02,39.009998
19617,2005,143.01118,0.11588852,1240641.6,3886757.8,5127399.5,1039502,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.0070754047,96.564468,2.5198255,1.0261186,4506.418,2.4329672,1198942,30.708799,107072,3486.689,166590,103563,8483,107211,138386.69,39.689999
19617,2006,203.55408,0.11376043,1706005.9,3449731.5,5155737.5,1039502,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.010687226,201.53348,2.9769843,1.0380381,4998.6348,4.1725359,1351520,33.449001,115790,3461.6841,227347,117358,14444,115790,167199.34,48.299999
19617,2007,126.6946,0.11524716,2031486.1,5561983,7593469.5,1039502,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.0098358225,199.17017,3.4954026,1.0152133,4016.8413,4.5628905,1562147,36.592499,123221,3367.3831,261525,169182,15365,123221,146986.27,43.650002
19617,2008,114.89054,0.10079706,13003877,13429080,26432958,1039502,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.0025769498,47.343979,3.7958941,0.99206924,3255.647,1.5015534,2175052,36.1511,134945,3732.801,398817,234657,5605,166884,117695.22,31.530001
19617,2009,231.75066,0.10744192,22425466,27385794,49811260,1039502,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.0057716849,123.97536,3.7811205,1.0034688,4118.6963,2.9751704,2031989,39.881901,157213,3941.959,396022,229243,11728,165365,164261.44,41.669998
19617,2010,217.6104,0.11459617,20998732,25314206,46312936,1039502,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.0082026627,188.43478,3.5034866,0.99885184,3853.8042,4.442121,2117605,43.041801,168306,3910.2939,415194,201791,17370,176106,165874.67,42.419998
19617,2011,186.82919,0.11884098,14639326,21433172,36072500,1039502,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.0083749965,167.2419,2.9625599,0.97778654,2692.4136,5.0298314,2265792,46.5909,175773,3772.6909,342204,201642,18976,183573,125441.98,33.25
19617,2012,487.47717,0.12801357,10874061,21989392,32863454,1039502,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.0090219276,246.01738,2.7987103,0.98823529,3262.5581,5.5952334,2359141,51.2654,195011,3803.9519,326806,244324,21284,204069,167256.34,43.969101
19617,2013,61.135834,0.13299489,9035567,13417859,22453426,1039502,19617,2968,JPM,46625H100,JPMORGAN CHASE & CO,0.0074194153,279.04871,2.5329058,1.008129,4124.8706,4.7716947,2415689,53.2519,200020,3756.1079,284445,250449,17923,211178,219657.2,58.48
